book_id,author,year,title,description,image
1,"M. Scott Peck, M.D.",1978,The Road Less Traveled,"The book delves into self-discipline, love, and spiritual growth, offering psychological and philosophical insights into personal development and overcoming life's challenges.",1.jpg
2,Don Tapscott and Anthony D. Williams,2006,Wikinomics: How Mass Collaboration Changes Everything,"It examines how mass collaboration through the internet is reshaping business, society, and the economy, emphasizing the power of collective intelligence and digital technology.",2.jpg
3,Hemant Taneja with Kevin Maney,2021,Unscaled - How AI and a New Generation of Upstarts Are Creating the Economy of the Future,"The book discusses how AI-driven startups are revolutionizing industries by moving away from traditional large-scale models, fostering personalized and efficient solutions.",3.jpg
4,Petteri Kilpinen,2017,Inspiroitunut,"The book focuses on leadership, motivation, and personal growth in a rapidly changing work environment, offering strategies for navigating modern business challenges.",4.jpg
5,Richard Carlson,2001,Älä hikeenny raha-asioista,"The book provides practical advice on reducing financial stress and adopting a calm, mindful approach to money, prioritizing peace of mind over financial anxiety.",5.jpg
6,"Pekka A. Viljakainen, Mark Mueller-Eberstein",2011,No Fear,"The book explores leadership in the digital era, advocating for innovation, adaptability, and new leadership approaches to navigate technological disruptions.",6.jpg
8,William G. Dyer,1987,Team Building - Issues and Alternatives Second Edition,"The book examines team development strategies, addressing common challenges in teamwork. It provides practical approaches for improving collaboration, communication, and effectiveness within organizations.",8.jpg
9,Artiom Dashinsky,2018,Solving Product Design Exercises,"The book provides practical guidance for tackling product design challenges in job interviews. It offers frameworks, real-world examples, and step-by-step solutions to help designers think critically, communicate ideas effectively, and succeed in the hiring process.",9.jpg
10,"Sssi Kiviranta, Matias Maenpää, Petteri Poukka",2020,Exit vol 2,"This volume features 16 inspiring true stories of Finnish entrepreneurs, showcasing their journeys and experiences in the business world.",10.jpg
11,Unto Kupiainen,1955,​Toivo Pekkanen runoilijana,"This book explores the life and works of Toivo Pekkanen, a notable Finnish poet, highlighting his contributions to literature and the themes present in his poetry.",11.jpg
12,Timo Ahopelto,2013,Sand Hill Road,"This novel explores the venture capital landscape through the eyes of a Finnish entrepreneur navigating Silicon Valley. It offers insights into the dynamics of investment, innovation, and the personal and professional challenges faced by startup founders striving for global success.",12.jpg
13,"Sirkku Heinonen, Rea Klingberg, Päivi Pentti",2011,Kaikkien aivot käyttöön,"This book explores strategies for enhancing cognitive abilities and utilizing brain power effectively in various contexts, aiming to improve learning and productivity.",13.jpg
14,Erin Meyer,2014,The Culture Map,"This book explores how cultural differences impact global business interactions, providing insights on communication, leadership, and negotiation across various cultures.",14.jpg
15,Risto Havunen – Anna Lavikkala,2010,Ongelmia ratkaiseva esimies,"This book focuses on problem-solving strategies for leaders, offering practical insights and tools to tackle challenges effectively in various organizational contexts.",15.jpg
16,"Pekka A. Viljakainen, Mark Mueller-Eberstein",2011,No Fear,"This book explores business leadership in the digital age, emphasizing the importance of adaptability and innovative thinking. It features insights from various contributors questioning traditional leadership paradigms.",16.jpg
17,Terho Puustinen & Mika Mäkeläinen,2013,​Taivas+helvetti,This book explores the journeys of entrepreneurs who faced significant challenges and losses but ultimately found success. It offers insights into resilience and the entrepreneurial spirit.,17.jpg
18,"Dr. Cristian Grossmann and Martha Rogers, Ph.D.",1993,The One to One Manager,"This book offers insights into customer relationship management, emphasizing personalized service and strategies to enhance customer loyalty and satisfaction.",18.jpg
19,Dr. Cristian Grossmann,2021,The Rise of the Frontline Worker,"This book explores how organizations can leverage their frontline workforce to gain a competitive advantage, emphasizing the importance of empowering and engaging these essential workers.",19.jpg
20,Hemant Taneja & Stephen Klasko,2020,UnHealthcare: A Manifesto for Health Assurance,"This book advocates for a transformative approach to healthcare, emphasizing health assurance over traditional healthcare models, aiming to improve outcomes and reduce costs.",20.jpg
21,Patrick Lencioni,2002,Viisi toimintahäiriötä tiimissä,"This book explores five dysfunctions that hinder team performance, providing insights on how to overcome them to build a cohesive and effective team.",21.jpg
22,Paul Polman & Andrew Winston,2021,Net positive,"The book explores how businesses can drive profit while benefiting society and the environment, offering strategies for sustainable leadership and tackling global challenges like climate change and inequality.",22.jpg
23,Paul Polman & Andrew Winston,2021,Net positive,"The book explores how businesses can drive profit while benefiting society and the environment, offering strategies for sustainable leadership and tackling global challenges like climate change and inequality.",23.jpg
24,,,Notebook for great ideas or just random scribbles,"A versatile notebook designed for jotting down ideas, sketches, or random thoughts. Perfect for anyone looking to capture inspiration on the go.",24.jpg
25,Timo Ahopelto,2013,Sand Hill Road,"This novel explores the venture capital landscape through the eyes of a Finnish entrepreneur navigating Silicon Valley. It offers insights into the dynamics of investment, innovation, and the personal and professional challenges faced by startup founders striving for global success.",25.jpg
26,Anneli Valpola,2000,Kehityskeskustelun mahdollisuudet,"This book explores the possibilities of development discussions in various contexts, emphasizing the importance of effective communication and feedback in personal and professional growth.",26.jpg
27,Franklin Becker / Fritz Steele,1999,Workplace by Design,"This book explores the relationship between workplace design and organizational performance, offering insights on creating high-performance work environments that enhance productivity and collaboration.",27.jpg
28,Linda Liukas,2015,Hello Ruby: Adventures in Coding,"This whimsical book introduces children to the world of computers and programming through engaging stories and activities, making coding fun and accessible.",28.jpg
29,Linda Liukas,2015,Hello Ruby: Adventures in Coding,"This whimsical book introduces children to the world of computers and programming through engaging stories and activities, making coding fun and accessible.",29.jpg
30,Linda Liukas,2015,Hello Ruby: Adventures in Coding,"This whimsical book introduces children to the world of computers and programming through engaging stories and activities, making coding fun and accessible.",30.jpg
